attack_type,target_system,outcome,timestamp,attacker_ip,target_ip,data_compromised_GB,attack_duration_min,security_tools_used,user_role,location,attack_severity,industry,response_time_min,mitigation_method
Malware,Cloud Service,Success,2023-10-27 13:01:40.086327,99.83.45.195,248.61.193.98,89.26,192,Antivirus,Admin,USA,2,Retail,54,Reset Credentials
Phishing,User Account,Success,2023-12-01 07:23:37.086333,27.169.45.55,28.117.42.31,4.53,168,IDS,Admin,Russia,10,Manufacturing,28,Block IP
DDoS,Cloud Service,Success,2024-05-02 19:06:15.086338,180.161.66.81,240.98.140.177,54.29,232,MFA,Admin,India,5,Manufacturing,102,Block IP
SQL Injection,IoT Device,Success,2023-11-30 02:36:04.086343,86.239.234.30,152.200.218.33,50.26,192,Firewall,Employee,India,3,Retail,74,Containment
Phishing,Database,Success,2024-02-15 03:05:38.086348,125.253.106.19,252.18.26.190,63.14,10,WAF,Employee,China,2,Education,152,Patch
Malware,Database,Success,2023-12-02 03:48:18.086354,166.36.116.215,233.211.123.98,8.16,107,SIEM,Contractor,Australia,10,Technology,1,Quarantine
Malware,User Account,Failure,2024-08-26 10:46:20.086359,55.150.254.123,254.205.237.86,98.45,179,MFA,Employee,Brazil,5,Energy,118,Quarantine
Phishing,User Account,Success,2024-05-20 01:27:13.086364,36.122.66.85,74.240.144.37,67.93,199,SIEM,Employee,Germany,2,Technology,146,Quarantine
SQL Injection,IoT Device,Failure,2023-11-08 05:30:19.086369,55.244.238.202,2.74.226.98,87.62,180,WAF,External User,Australia,3,Technology,106,Reset Credentials
Zero-Day Exploit,Database,Failure,2023-12-27 04:51:27.086375,7.22.38.68,248.224.19.130,92.39,32,Firewall,Employee,India,5,Healthcare,135,Quarantine
Phishing,IoT Device,Success,2024-02-23 23:01:12.086378,14.222.159.245,199.100.245.85,22.18,21,Firewall,Admin,France,6,Manufacturing,173,Containment
Ransomware,Network Switch,Failure,2024-08-28 07:08:29.086381,123.204.40.209,160.69.135.200,77.59,100,MFA,External User,USA,6,Healthcare,31,Quarantine
Phishing,IoT Device,Success,2024-04-19 06:41:54.086385,157.29.163.161,188.66.162.70,53.72,77,Endpoint Detection,Admin,China,8,Technology,120,Quarantine
Cross-Site Scripting,Web Server,Success,2024-09-02 17:35:38.086388,185.44.204.155,35.66.106.187,71.88,284,Antivirus,Admin,China,7,Technology,12,Patch
Zero-Day Exploit,Network Switch,Success,2024-05-16 09:03:47.086390,23.88.226.237,14.103.179.202,65.47,17,MFA,Employee,Canada,8,Education,145,Containment
Malware,IoT Device,Success,2024-03-16 22:42:12.086393,90.100.221.224,121.76.90.228,8.69,63,Endpoint Detection,Admin,Australia,4,Government,83,Block IP
Brute Force,Database,Success,2024-01-19 16:34:53.086396,106.52.50.76,234.131.105.216,31.24,254,VPN,Contractor,Russia,4,Manufacturing,10,Patch
Ransomware,API,Success,2024-01-01 14:42:43.086399,132.132.181.222,87.242.225.102,76.63,45,Endpoint Detection,Admin,India,4,Technology,148,Patch
Cross-Site Scripting,API,Success,2023-10-14 13:19:50.086402,181.176.131.39,123.230.84.219,88.9,19,Firewall,Admin,Canada,9,Manufacturing,118,Patch
Cross-Site Scripting,Cloud Service,Failure,2024-01-19 03:45:35.086405,144.79.89.50,58.120.116.74,53.29,46,Firewall,Admin,China,9,Retail,108,Block IP
Phishing,API,Success,2023-12-30 08:31:41.086408,232.211.9.204,245.26.77.177,47.52,254,WAF,Employee,UK,3,Finance,154,Patch
Phishing,Cloud Service,Failure,2024-07-30 02:12:40.086411,21.177.11.26,116.213.241.161,3.37,275,Antivirus,Employee,Russia,10,Manufacturing,107,Containment
DDoS,Email Server,Failure,2024-07-23 05:56:50.086414,148.95.250.31,202.94.70.147,98.2,33,Antivirus,Employee,Germany,6,Retail,24,Patch
DDoS,Email Server,Success,2024-05-12 21:17:01.086416,36.80.250.169,238.154.106.172,66.57,185,Firewall,Admin,Australia,5,Healthcare,35,Quarantine
Brute Force,Network Switch,Success,2024-05-17 12:33:01.086419,100.179.72.33,98.105.158.101,66.83,89,VPN,Admin,Australia,9,Retail,133,Patch
SQL Injection,Database,Success,2023-11-16 16:06:43.086422,47.255.37.56,21.186.203.121,29.57,53,Firewall,External User,Canada,2,Manufacturing,80,Containment
Brute Force,Email Server,Failure,2023-11-20 19:14:35.086425,176.177.10.85,124.241.66.2,11.08,29,IDS,Contractor,Canada,3,Education,141,Reset Credentials
Zero-Day Exploit,IoT Device,Failure,2024-05-02 13:18:05.086428,171.50.177.78,236.196.163.162,38.05,203,Antivirus,Admin,Russia,6,Technology,79,Patch
Zero-Day Exploit,Cloud Service,Failure,2024-05-24 10:18:14.086431,214.69.173.141,46.12.217.136,18.28,160,IDS,External User,China,4,Government,15,Patch
Malware,API,Failure,2024-08-16 13:32:44.086434,215.177.62.106,151.226.207.79,94.34,267,Firewall,Contractor,India,6,Education,99,Block IP
Cross-Site Scripting,Database,Success,2024-02-04 17:13:29.086436,101.34.123.231,123.206.17.190,14.94,19,MFA,External User,Germany,4,Energy,38,Containment
Malware,Web Server,Failure,2023-12-20 22:16:02.086439,234.178.0.223,134.8.107.64,85.66,178,WAF,External User,USA,4,Manufacturing,172,Quarantine
Ransomware,Cloud Service,Success,2024-04-06 09:49:21.086442,157.30.51.89,225.49.127.140,84.34,160,VPN,Admin,China,4,Healthcare,46,Quarantine
Malware,Web Server,Success,2023-11-03 14:32:25.086445,37.207.36.18,116.23.212.236,27.22,20,WAF,Admin,China,6,Energy,159,Block IP
Cross-Site Scripting,API,Success,2024-03-21 09:58:37.086448,198.224.53.244,126.30.246.150,60.9,45,SIEM,Employee,USA,3,Manufacturing,87,Containment
DDoS,Network Switch,Failure,2023-10-26 17:47:55.086451,2.40.133.145,181.195.55.69,20.81,39,SIEM,Admin,USA,7,Technology,148,Quarantine
Cross-Site Scripting,Web Server,Success,2024-06-07 11:15:34.086454,12.24.113.114,182.139.40.153,9.29,254,VPN,Employee,Australia,3,Energy,62,Patch
Malware,IoT Device,Failure,2024-06-14 08:33:31.086457,44.106.112.129,35.211.152.236,27.35,268,Antivirus,Contractor,Canada,5,Retail,103,Block IP
DDoS,User Account,Failure,2024-01-27 01:24:23.086459,168.250.80.69,3.15.137.9,17.64,233,SIEM,Contractor,Canada,10,Finance,112,Reset Credentials
SQL Injection,IoT Device,Success,2024-03-03 09:35:16.086462,160.65.182.216,83.147.79.74,86.12,153,SIEM,Admin,Canada,10,Manufacturing,75,Containment
Malware,Web Server,Success,2023-12-29 08:59:22.086465,28.95.116.77,54.1.140.218,95.71,140,VPN,External User,Germany,1,Retail,18,Containment
DDoS,Web Server,Success,2024-05-16 07:18:41.086468,11.47.77.125,23.179.203.8,38.61,291,VPN,Employee,Russia,4,Finance,126,Quarantine
SQL Injection,User Account,Failure,2024-05-09 18:16:00.086471,45.14.36.120,115.105.170.166,69.09,255,MFA,Contractor,USA,7,Healthcare,4,Containment
Phishing,Cloud Service,Failure,2024-01-05 07:45:39.086474,229.142.159.171,253.250.20.239,36.79,27,MFA,External User,Australia,3,Manufacturing,128,Containment
Phishing,Cloud Service,Failure,2023-09-11 04:12:11.086476,228.59.126.67,185.116.79.50,17.33,124,Antivirus,External User,China,1,Healthcare,165,Containment
Zero-Day Exploit,Web Server,Failure,2023-12-27 11:29:18.086479,219.32.100.52,114.49.112.85,95.75,19,VPN,Admin,India,6,Government,146,Reset Credentials
Phishing,Email Server,Failure,2024-03-21 09:13:06.086482,175.251.214.85,114.17.44.232,25.95,13,WAF,External User,Brazil,3,Energy,131,Containment
Phishing,API,Failure,2024-07-01 23:14:26.086485,140.194.166.25,104.68.236.142,64.38,163,Endpoint Detection,External User,Canada,6,Manufacturing,49,Block IP
Ransomware,Network Switch,Failure,2024-05-09 06:32:33.086488,252.179.165.176,74.15.100.137,6.88,130,WAF,Contractor,China,3,Retail,19,Block IP
SQL Injection,User Account,Success,2023-10-03 02:37:45.086491,212.154.243.1,7.52.59.29,96.55,24,MFA,External User,India,10,Technology,27,Quarantine
Zero-Day Exploit,Email Server,Failure,2024-01-12 07:27:50.086493,173.245.141.222,53.99.39.105,14.21,155,VPN,Contractor,China,7,Manufacturing,95,Quarantine
Malware,IoT Device,Failure,2023-10-19 00:27:29.086496,81.140.23.219,189.210.179.247,68.63,33,WAF,Contractor,UK,1,Finance,176,Quarantine
Zero-Day Exploit,IoT Device,Success,2024-03-24 13:47:25.086499,4.11.122.29,21.84.202.209,68.25,3,WAF,Contractor,Russia,8,Healthcare,135,Reset Credentials
SQL Injection,Database,Success,2023-12-26 05:02:17.086502,88.23.155.76,232.51.171.252,54.9,137,SIEM,Employee,India,2,Retail,132,Reset Credentials
Cross-Site Scripting,Database,Failure,2024-08-29 05:53:29.086505,77.118.195.76,170.77.135.163,17.05,216,VPN,Contractor,Russia,9,Energy,153,Patch
Malware,User Account,Success,2023-12-29 20:09:35.086507,185.51.21.103,51.21.216.245,28.21,196,MFA,External User,UK,2,Manufacturing,124,Patch
DDoS,API,Success,2024-07-07 21:42:25.086510,48.57.197.199,159.36.153.27,20.26,85,Endpoint Detection,External User,Brazil,6,Technology,31,Patch
Cross-Site Scripting,Web Server,Success,2024-06-23 08:12:26.086517,65.31.32.105,144.162.97.9,4.79,174,Antivirus,Admin,India,5,Manufacturing,134,Containment
Brute Force,Web Server,Success,2024-08-02 12:42:20.086520,2.116.131.220,193.63.91.110,35.26,11,Firewall,Contractor,USA,8,Healthcare,45,Reset Credentials
Ransomware,IoT Device,Success,2023-12-08 09:25:54.086523,131.108.166.10,110.236.12.251,94.33,269,VPN,External User,UK,7,Healthcare,178,Containment
Malware,IoT Device,Success,2023-12-09 13:09:36.086526,48.165.194.146,186.229.19.45,11.45,76,Firewall,External User,Canada,10,Retail,3,Block IP
Brute Force,Cloud Service,Failure,2024-01-27 07:40:00.086529,249.163.164.177,197.169.81.32,16.22,233,SIEM,External User,Canada,6,Technology,165,Patch
Malware,Email Server,Failure,2024-04-04 10:45:21.086532,16.102.171.62,39.60.14.28,30.7,157,WAF,Contractor,Canada,8,Technology,85,Block IP
DDoS,User Account,Success,2024-03-08 12:30:13.086534,41.204.130.153,203.157.187.124,4.16,129,Antivirus,Admin,Brazil,2,Retail,94,Block IP
Cross-Site Scripting,Database,Success,2024-02-15 06:49:55.086537,58.223.215.50,99.47.141.148,1.21,124,Endpoint Detection,Admin,Brazil,5,Manufacturing,151,Containment
Brute Force,Cloud Service,Success,2023-12-24 17:21:28.086540,14.184.87.223,242.10.215.47,24.35,42,SIEM,Admin,Canada,6,Energy,60,Quarantine
Brute Force,User Account,Failure,2024-08-16 03:52:13.086544,202.26.170.67,243.209.134.250,93.38,106,Antivirus,External User,India,7,Finance,29,Quarantine
SQL Injection,Web Server,Failure,2024-05-27 02:50:02.086547,97.71.190.149,104.88.174.220,86.7,20,SIEM,Admin,Russia,9,Manufacturing,34,Reset Credentials
Malware,Email Server,Failure,2024-04-11 21:52:19.086550,82.67.24.197,233.179.47.183,7.99,299,Endpoint Detection,Contractor,Australia,7,Manufacturing,52,Reset Credentials
Cross-Site Scripting,Cloud Service,Failure,2024-01-07 13:08:12.086552,87.183.240.22,100.165.205.179,11.42,287,MFA,Employee,Russia,1,Education,87,Containment
Brute Force,User Account,Failure,2024-06-12 10:25:51.086555,123.117.34.49,144.145.148.224,26.98,20,Endpoint Detection,Admin,USA,6,Education,172,Containment
Malware,Web Server,Success,2024-08-03 17:23:06.086558,110.78.155.13,68.139.124.95,41.79,219,Firewall,External User,India,4,Government,122,Patch
Phishing,Web Server,Failure,2023-12-24 22:44:19.086561,198.52.89.54,72.228.128.97,55.19,90,VPN,External User,USA,6,Technology,44,Quarantine
Brute Force,Web Server,Success,2024-01-11 06:45:10.086564,107.212.145.246,215.29.170.174,66.77,118,MFA,External User,Germany,1,Technology,103,Patch
SQL Injection,Cloud Service,Success,2024-02-03 10:20:53.086567,103.62.70.244,33.92.69.148,19.36,291,Antivirus,External User,India,3,Energy,93,Quarantine
DDoS,Web Server,Success,2024-08-08 23:53:23.086570,141.71.102.144,156.98.131.243,36.38,2,Firewall,Employee,UK,4,Finance,178,Containment
Malware,Database,Success,2024-08-11 01:55:40.086573,3.91.68.44,77.82.99.98,2.47,139,SIEM,Contractor,Russia,7,Energy,86,Block IP
Zero-Day Exploit,Database,Success,2024-02-23 10:47:58.086576,178.50.14.60,136.191.115.116,90.07,170,MFA,Contractor,Russia,4,Government,33,Patch
DDoS,Network Switch,Success,2023-10-30 01:13:10.086578,126.69.102.9,90.170.215.108,94.77,296,Firewall,Contractor,France,8,Education,113,Block IP
Malware,Cloud Service,Success,2023-11-17 19:27:46.086581,122.211.104.122,210.165.65.235,18.78,111,SIEM,External User,China,6,Technology,33,Containment
Brute Force,User Account,Success,2023-10-21 22:46:07.086584,115.221.233.202,38.189.73.198,24.72,200,SIEM,Admin,China,4,Retail,49,Block IP
Ransomware,Network Switch,Success,2023-10-09 13:59:09.086587,240.175.134.6,158.182.138.122,12.12,260,Antivirus,Employee,France,1,Healthcare,84,Reset Credentials
SQL Injection,Database,Failure,2024-08-24 03:55:12.086590,9.27.97.29,48.136.85.142,19.5,196,MFA,Contractor,Brazil,9,Government,120,Block IP
Ransomware,Email Server,Failure,2024-05-05 23:16:23.086593,119.233.188.114,90.132.21.13,14.15,214,VPN,External User,Russia,9,Manufacturing,133,Patch
SQL Injection,API,Success,2024-01-12 05:02:45.086596,8.153.118.61,26.137.55.3,52.71,120,Firewall,Contractor,China,3,Energy,95,Quarantine
SQL Injection,Network Switch,Success,2024-01-28 01:41:05.086599,75.84.20.136,120.34.135.54,35.16,255,WAF,External User,Brazil,5,Technology,49,Patch
SQL Injection,IoT Device,Failure,2024-04-01 05:50:07.086602,48.21.124.87,135.32.148.242,57.73,244,Firewall,Employee,Australia,6,Healthcare,72,Block IP
Malware,Cloud Service,Success,2023-10-05 01:27:04.086605,71.194.118.67,64.55.2.239,82.7,203,IDS,Admin,Australia,3,Education,55,Patch
DDoS,IoT Device,Failure,2024-03-04 12:19:35.086608,99.9.203.42,217.91.91.24,48.04,163,VPN,Employee,Australia,7,Technology,77,Quarantine
Malware,Database,Success,2024-04-13 05:49:09.086611,10.107.209.51,224.152.33.223,42.5,97,IDS,Admin,UK,1,Retail,33,Containment
Brute Force,User Account,Success,2024-05-31 07:31:25.086614,14.129.205.203,112.239.132.139,33.83,126,WAF,Admin,Canada,8,Manufacturing,171,Block IP
Malware,Network Switch,Success,2024-06-18 18:29:21.086617,201.107.44.6,240.89.108.238,54.18,141,VPN,Contractor,France,2,Manufacturing,33,Quarantine
Brute Force,Cloud Service,Success,2024-04-09 03:05:04.086619,41.41.203.111,48.240.84.112,36.43,282,Endpoint Detection,Contractor,India,5,Energy,80,Quarantine
Zero-Day Exploit,Cloud Service,Success,2023-09-27 14:48:05.086622,100.226.195.80,56.45.11.35,32.0,58,Endpoint Detection,Admin,France,6,Energy,124,Patch
Cross-Site Scripting,Database,Success,2023-09-22 22:32:22.086625,32.102.49.228,79.137.202.75,51.23,72,MFA,External User,Australia,2,Retail,135,Block IP
Cross-Site Scripting,Web Server,Success,2024-07-23 01:28:06.086628,88.72.141.56,23.80.179.197,23.39,231,WAF,Contractor,Canada,4,Finance,162,Containment
Ransomware,Network Switch,Failure,2023-10-25 00:02:04.086631,239.0.97.46,115.173.55.97,91.24,173,WAF,Contractor,USA,5,Finance,15,Block IP
DDoS,Web Server,Success,2023-12-27 14:33:24.086634,132.225.143.135,101.50.153.3,66.31,152,VPN,Contractor,Canada,8,Education,175,Quarantine
Ransomware,Web Server,Success,2024-08-13 15:40:53.086637,79.140.244.152,234.255.241.102,44.33,90,SIEM,Contractor,Russia,3,Energy,131,Containment
SQL Injection,Web Server,Failure,2024-03-08 19:55:06.086640,65.220.59.97,97.84.71.197,28.83,274,VPN,Contractor,Russia,10,Energy,96,Reset Credentials
Brute Force,Database,Success,2024-08-03 04:17:30.086643,87.9.67.89,42.141.94.194,42.17,82,MFA,Employee,India,7,Education,166,Block IP
Cross-Site Scripting,Network Switch,Failure,2023-09-22 17:44:15.086645,196.224.119.140,144.17.177.199,50.34,41,Firewall,Contractor,Brazil,2,Education,91,Block IP
Zero-Day Exploit,Network Switch,Success,2023-10-26 17:45:35.086648,76.174.137.102,37.136.102.11,72.94,228,Endpoint Detection,Contractor,Australia,8,Technology,71,Quarantine
Phishing,API,Success,2023-11-01 03:41:04.086651,228.147.251.250,122.4.48.228,92.09,136,Antivirus,Employee,China,1,Manufacturing,60,Containment
DDoS,IoT Device,Success,2024-02-28 12:15:11.086654,176.159.119.124,220.91.24.228,96.73,198,IDS,Admin,Brazil,6,Technology,176,Block IP
DDoS,User Account,Failure,2024-07-06 04:25:15.086657,195.61.128.139,211.226.223.172,58.69,289,Firewall,External User,Germany,3,Education,109,Reset Credentials
DDoS,Email Server,Success,2023-11-06 16:52:06.086660,62.118.156.145,97.54.77.199,52.75,29,Endpoint Detection,Employee,Canada,1,Retail,52,Containment
Phishing,Cloud Service,Failure,2024-04-14 01:32:53.086662,250.33.9.55,140.242.95.33,77.86,212,WAF,External User,Brazil,7,Government,51,Quarantine
DDoS,API,Success,2024-06-25 14:56:42.086665,226.127.3.117,174.111.245.95,40.37,142,Antivirus,Employee,China,9,Retail,41,Quarantine
DDoS,API,Failure,2024-01-10 12:08:02.086668,60.9.111.56,21.5.47.238,24.18,110,IDS,Admin,UK,7,Government,128,Reset Credentials
Zero-Day Exploit,IoT Device,Failure,2023-10-26 23:55:41.086671,188.50.144.82,82.51.244.165,53.67,292,IDS,Contractor,Australia,5,Finance,178,Quarantine
Brute Force,User Account,Success,2024-05-23 05:42:18.086674,95.9.139.202,16.220.147.184,52.91,16,Endpoint Detection,Employee,China,7,Retail,172,Reset Credentials
Zero-Day Exploit,Email Server,Failure,2023-11-01 14:03:17.086677,5.131.10.238,166.7.99.138,63.63,181,Endpoint Detection,Admin,Canada,9,Technology,19,Block IP
Phishing,IoT Device,Failure,2024-06-02 02:22:40.086680,36.206.224.86,141.63.12.144,51.93,149,SIEM,Admin,Brazil,4,Education,136,Quarantine
Phishing,User Account,Success,2024-07-24 19:55:35.086682,74.10.29.94,69.154.78.124,37.51,300,MFA,Admin,Canada,8,Manufacturing,75,Quarantine
Brute Force,Network Switch,Failure,2024-02-05 07:59:15.086685,202.214.57.167,140.78.104.114,18.78,137,MFA,External User,Canada,5,Education,178,Quarantine
Malware,Web Server,Success,2024-02-12 07:38:29.086688,41.249.15.151,119.6.2.25,77.67,107,WAF,Admin,France,2,Technology,180,Containment
Ransomware,IoT Device,Success,2024-06-05 22:19:10.086691,249.75.255.8,175.250.61.140,67.77,49,SIEM,External User,France,7,Manufacturing,131,Patch
Zero-Day Exploit,Network Switch,Failure,2023-12-07 06:36:15.086694,31.245.6.80,142.110.254.101,90.03,252,IDS,External User,Germany,1,Healthcare,55,Quarantine
Phishing,IoT Device,Failure,2023-12-26 22:07:29.086696,149.250.85.186,158.62.220.12,94.05,251,SIEM,Employee,USA,2,Government,165,Containment
SQL Injection,Database,Failure,2024-05-10 20:09:44.086700,114.147.7.189,80.170.148.124,63.47,223,Firewall,Admin,Germany,4,Finance,160,Patch
Phishing,API,Success,2024-05-02 19:41:13.086702,210.17.219.42,8.171.127.223,23.49,88,WAF,Admin,Canada,1,Energy,107,Quarantine
Ransomware,IoT Device,Failure,2024-05-07 02:45:02.086705,154.127.85.202,152.51.153.106,22.98,185,IDS,Contractor,Australia,5,Manufacturing,79,Block IP
Phishing,API,Success,2024-06-20 03:41:41.086708,142.83.102.216,186.121.204.147,7.67,238,MFA,Employee,France,1,Energy,90,Patch
Phishing,Network Switch,Success,2023-12-28 02:47:34.086711,44.169.250.175,37.114.48.130,94.88,207,MFA,External User,USA,6,Finance,132,Patch
Brute Force,IoT Device,Failure,2023-10-25 05:16:08.086714,57.77.121.81,122.9.247.102,100.0,149,IDS,Contractor,India,1,Healthcare,153,Reset Credentials
Ransomware,API,Success,2024-05-26 03:36:49.086716,80.50.233.255,245.82.188.189,87.18,251,Firewall,Employee,USA,9,Education,6,Quarantine
Zero-Day Exploit,Cloud Service,Success,2024-06-28 04:29:17.086719,209.123.177.223,88.111.24.163,2.8,280,Antivirus,External User,Russia,1,Energy,93,Quarantine
Cross-Site Scripting,Email Server,Success,2024-04-08 13:41:49.086722,185.192.99.94,155.155.31.80,67.86,259,Firewall,Admin,UK,7,Education,165,Patch
Ransomware,Network Switch,Success,2023-09-20 19:44:59.086725,46.194.126.108,220.27.108.71,58.67,156,IDS,Admin,Brazil,8,Manufacturing,89,Block IP
SQL Injection,Database,Failure,2024-06-14 09:49:01.086728,2.22.35.99,133.219.161.162,70.67,81,IDS,Employee,Brazil,9,Retail,139,Containment
SQL Injection,Web Server,Success,2024-04-26 12:13:23.086731,75.197.101.0,97.43.48.199,43.33,44,Endpoint Detection,Contractor,UK,1,Retail,2,Patch
Brute Force,Network Switch,Success,2024-05-14 20:06:26.086737,155.83.194.140,23.126.67.37,55.45,171,IDS,Admin,Brazil,8,Education,16,Reset Credentials
Zero-Day Exploit,Cloud Service,Success,2023-10-10 23:55:42.086743,104.160.238.244,215.199.102.248,76.92,114,Antivirus,Employee,Australia,6,Retail,151,Containment
Zero-Day Exploit,Network Switch,Success,2024-07-02 17:26:08.086748,198.8.94.27,103.79.40.210,37.73,171,Firewall,Contractor,Australia,8,Finance,3,Patch
Cross-Site Scripting,Network Switch,Failure,2024-08-12 21:47:48.086753,211.203.185.5,223.93.224.80,45.24,204,Antivirus,Contractor,Australia,7,Technology,9,Patch
DDoS,API,Success,2024-08-05 03:48:41.086758,69.116.141.190,236.107.221.231,82.64,251,Endpoint Detection,Admin,USA,2,Government,86,Quarantine
SQL Injection,Database,Failure,2024-07-14 14:15:26.086763,203.30.1.228,169.138.235.66,91.64,170,MFA,External User,Canada,2,Government,15,Quarantine
Zero-Day Exploit,Email Server,Failure,2024-01-06 07:57:07.086768,81.165.154.160,19.68.24.211,62.57,53,Firewall,Contractor,Australia,8,Technology,113,Patch
DDoS,User Account,Success,2024-03-06 22:01:16.086773,130.155.173.123,171.145.94.53,50.66,138,MFA,External User,Canada,5,Technology,9,Containment
Malware,Cloud Service,Failure,2024-08-23 19:15:08.086778,71.205.241.100,86.154.85.86,42.98,279,Endpoint Detection,Contractor,Germany,3,Retail,4,Reset Credentials
Ransomware,Database,Failure,2024-08-01 19:12:26.086783,129.181.247.41,12.41.153.177,45.57,257,SIEM,External User,India,2,Retail,102,Patch
SQL Injection,IoT Device,Failure,2024-08-07 17:35:45.086787,140.142.244.110,77.104.213.115,13.65,178,WAF,Contractor,France,3,Education,109,Patch
SQL Injection,Web Server,Success,2023-09-12 04:56:32.086789,50.67.223.116,156.240.235.50,51.45,98,Antivirus,Admin,China,1,Healthcare,95,Patch
Cross-Site Scripting,Web Server,Success,2023-10-23 16:58:04.086793,11.53.176.182,137.14.64.153,23.54,20,IDS,Employee,France,7,Government,162,Reset Credentials
SQL Injection,Email Server,Success,2024-09-04 14:27:47.086796,172.133.32.88,39.146.116.21,63.47,20,VPN,Employee,France,9,Government,169,Block IP
Malware,Email Server,Success,2024-07-15 04:37:32.086799,29.254.168.180,196.21.34.89,97.35,187,MFA,External User,UK,6,Retail,57,Block IP
Zero-Day Exploit,Email Server,Failure,2024-03-16 18:54:33.086802,18.133.222.117,52.28.109.212,42.81,18,VPN,Contractor,France,8,Education,120,Containment
Phishing,Cloud Service,Failure,2023-09-16 14:33:44.086805,92.222.224.7,95.74.251.251,62.91,79,Endpoint Detection,Admin,India,6,Healthcare,158,Patch
Cross-Site Scripting,Web Server,Success,2024-02-07 08:56:50.086808,247.59.245.163,245.129.6.76,72.9,244,MFA,Employee,France,4,Energy,2,Quarantine
SQL Injection,Database,Failure,2024-07-30 03:10:52.086811,173.245.228.233,141.103.255.115,11.77,79,SIEM,Employee,UK,6,Technology,113,Reset Credentials
Zero-Day Exploit,Database,Failure,2023-11-23 07:37:48.086814,202.151.172.192,112.85.141.155,36.2,129,MFA,Admin,UK,3,Healthcare,124,Quarantine
Cross-Site Scripting,Web Server,Success,2023-09-18 01:58:14.086817,103.168.95.201,45.66.176.125,63.48,37,Endpoint Detection,Admin,India,3,Retail,179,Reset Credentials
Phishing,Database,Success,2024-04-06 15:31:47.086820,150.85.47.228,194.129.45.146,30.97,99,WAF,Admin,India,10,Technology,155,Patch
Malware,Cloud Service,Success,2024-02-13 09:04:41.086823,227.128.239.132,161.161.181.239,77.94,33,MFA,External User,UK,10,Education,162,Patch
DDoS,IoT Device,Failure,2024-04-02 02:03:05.086826,46.254.52.199,210.20.140.139,18.91,206,VPN,Admin,Canada,3,Manufacturing,161,Patch
Brute Force,Network Switch,Failure,2024-03-05 08:30:26.086829,245.51.15.84,205.109.244.98,1.35,190,Endpoint Detection,Employee,France,2,Retail,96,Quarantine
Zero-Day Exploit,Email Server,Failure,2023-09-30 15:41:22.086835,56.246.207.211,33.161.148.77,76.97,18,IDS,External User,USA,6,Retail,68,Patch
Phishing,Database,Success,2024-06-30 19:15:28.086838,172.234.178.249,225.200.110.222,22.94,222,IDS,Contractor,USA,5,Finance,68,Patch
Malware,API,Success,2024-03-20 10:47:38.086841,215.247.17.210,180.81.198.141,66.2,239,VPN,Admin,Germany,2,Government,105,Quarantine
SQL Injection,IoT Device,Failure,2024-02-28 04:38:47.086844,3.235.113.93,133.79.153.75,60.87,233,VPN,Contractor,China,4,Education,52,Reset Credentials
Zero-Day Exploit,User Account,Failure,2024-05-16 07:07:58.086847,19.244.25.164,110.105.242.132,2.05,47,WAF,External User,Russia,4,Finance,157,Block IP
Phishing,API,Failure,2024-06-10 22:13:24.086850,38.128.173.79,82.49.31.180,91.72,106,IDS,Contractor,UK,3,Manufacturing,118,Patch
Zero-Day Exploit,Cloud Service,Failure,2024-08-23 21:14:20.086853,95.46.55.155,5.33.35.72,60.83,91,Antivirus,External User,France,4,Government,36,Reset Credentials
Zero-Day Exploit,IoT Device,Success,2024-06-25 21:24:45.086855,242.51.50.162,75.113.250.50,25.22,122,Antivirus,External User,India,5,Retail,161,Containment
Zero-Day Exploit,Email Server,Success,2024-06-22 17:11:17.086858,255.5.12.204,71.54.75.24,6.58,243,SIEM,Admin,Australia,3,Energy,55,Quarantine
Cross-Site Scripting,Network Switch,Failure,2023-10-11 15:01:14.086861,156.198.100.135,166.224.27.240,26.0,292,MFA,Admin,UK,2,Retail,91,Containment
Zero-Day Exploit,Network Switch,Failure,2024-08-24 18:05:49.086864,88.90.28.131,106.218.120.122,33.7,125,IDS,Employee,Australia,5,Technology,94,Containment
Malware,Network Switch,Success,2024-04-26 00:57:04.086867,142.91.137.54,55.91.25.148,70.37,5,IDS,Employee,India,2,Government,41,Patch
Ransomware,Network Switch,Failure,2024-06-21 12:48:56.086870,234.193.250.89,222.140.222.164,76.95,261,Endpoint Detection,Employee,USA,7,Retail,160,Reset Credentials
Malware,Web Server,Success,2023-12-21 02:45:00.086873,117.83.46.107,109.36.183.204,29.13,190,Endpoint Detection,Employee,Brazil,9,Retail,120,Containment
Zero-Day Exploit,Web Server,Success,2024-08-13 12:19:13.086876,145.29.125.25,168.21.104.227,22.92,54,Firewall,External User,Brazil,7,Healthcare,89,Quarantine
Ransomware,User Account,Failure,2023-10-28 00:58:49.086879,223.179.89.50,92.13.14.100,99.53,246,MFA,Contractor,USA,7,Energy,166,Quarantine
Brute Force,Database,Failure,2024-07-11 00:54:57.086882,12.80.18.64,192.55.233.4,18.94,88,SIEM,Admin,UK,5,Retail,6,Quarantine
SQL Injection,Email Server,Success,2024-01-04 14:10:36.086884,125.153.227.139,53.128.37.228,23.51,221,SIEM,Contractor,Russia,1,Education,97,Containment
